Genome ID,species
1598.291,reuteri
1598.259,reuteri
1598.175,reuteri
1598.177,reuteri
1598.176,reuteri
1598.178,reuteri
1598.322,reuteri
1598.320,reuteri
1598.321,reuteri
1598.319,reuteri
1598.318,reuteri
1598.316,reuteri
1598.317,reuteri
1598.313,reuteri
1598.312,reuteri
1598.288,reuteri
1598.146,reuteri
1598.289,reuteri
1598.264,reuteri
1598.349,reuteri
1598.258,reuteri
1598.95,reuteri
1598.309,reuteri
1598.292,reuteri
1598.294,reuteri
1598.295,reuteri
1598.293,reuteri
1598.296,reuteri
1598.297,reuteri
1598.304,reuteri
1598.306,reuteri
1598.298,reuteri
1598.305,reuteri
1598.299,reuteri
1598.300,reuteri
1598.301,reuteri
1598.302,reuteri
1598.307,reuteri
1598.303,reuteri
1598.311,reuteri
1598.90,reuteri
1598.93,reuteri
1598.308,reuteri
1598.283,reuteri
1598.290,reuteri
1598.179,reuteri
1598.370,reuteri
1598.92,reuteri
1598.91,reuteri
1598.348,reuteri
1598.111,reuteri
1358027.3,reuteri
1381116.3,rhamnosus
1408180.3,rhamnosus
1002365.5,rhamnosus
1088720.3,rhamnosus
1078018.5,rhamnosus
1286405.4,rhamnosus
1380361.3,rhamnosus
1423797.7,rhamnosus
1457191.3,rhamnosus
568703.9,rhamnosus
568703.30,rhamnosus
486408.6,rhamnosus
1300223.3,rhamnosus
1390386.3,rhamnosus
1390384.3,rhamnosus
1390383.3,rhamnosus
568704.3,rhamnosus
525361.3,rhamnosus
1316933.3,rhamnosus
1318634.3,rhamnosus
1408205.4,rhamnosus
1203258.5,rhamnosus
1203259.4,rhamnosus
947828.9,rhamnosus
1457395.3,rhamnosus
1457396.3,rhamnosus
880592.5,rhamnosus
47715.87,rhamnosus
47715.101,rhamnosus
47715.102,rhamnosus
47715.67,rhamnosus
47715.88,rhamnosus
47715.100,rhamnosus
47715.105,rhamnosus
47715.103,rhamnosus
47715.106,rhamnosus
47715.99,rhamnosus
47715.288,rhamnosus
47715.104,rhamnosus
47715.107,rhamnosus
47715.109,rhamnosus
47715.110,rhamnosus
47715.111,rhamnosus
47715.112,rhamnosus
47715.108,rhamnosus
47715.113,rhamnosus
47715.114,rhamnosus
47715.118,rhamnosus
47715.117,rhamnosus
47715.115,rhamnosus
47715.116,rhamnosus
47715.246,rhamnosus
47715.245,rhamnosus
47715.211,rhamnosus
47715.129,rhamnosus
47715.209,rhamnosus
47715.208,rhamnosus
47715.210,rhamnosus
47715.329,rhamnosus
47715.247,rhamnosus
47715.119,rhamnosus
47715.130,rhamnosus
47715.89,rhamnosus
47715.90,rhamnosus
47715.331,rhamnosus
47715.207,rhamnosus
47715.311,rhamnosus
47715.314,rhamnosus
47715.248,rhamnosus
47715.97,rhamnosus
47715.98,rhamnosus
47715.96,rhamnosus
47715.93,rhamnosus
47715.91,rhamnosus
47715.94,rhamnosus
47715.95,rhamnosus
47715.92,rhamnosus
47715.310,rhamnosus
47715.206,rhamnosus
47715.149,rhamnosus
47715.170,rhamnosus
47715.148,rhamnosus
47715.169,rhamnosus
47715.168,rhamnosus
47715.167,rhamnosus
47715.147,rhamnosus
47715.166,rhamnosus
47715.165,rhamnosus
47715.164,rhamnosus
47715.146,rhamnosus
47715.163,rhamnosus
47715.145,rhamnosus
47715.161,rhamnosus
47715.144,rhamnosus
47715.143,rhamnosus
47715.162,rhamnosus
47715.160,rhamnosus
47715.142,rhamnosus
47715.159,rhamnosus
47715.158,rhamnosus
47715.141,rhamnosus
47715.157,rhamnosus
47715.156,rhamnosus
47715.140,rhamnosus
47715.139,rhamnosus
47715.171,rhamnosus
47715.151,rhamnosus
47715.279,rhamnosus
47715.278,rhamnosus
47715.155,rhamnosus
47715.172,rhamnosus
47715.175,rhamnosus
47715.173,rhamnosus
47715.174,rhamnosus
47715.281,rhamnosus
47715.280,rhamnosus
47715.154,rhamnosus
47715.153,rhamnosus
47715.152,rhamnosus
47715.138,rhamnosus
47715.150,rhamnosus
47715.330,rhamnosus
47715.277,rhamnosus
47715.137,rhamnosus
47715.276,rhamnosus
47715.244,rhamnosus
47715.249,rhamnosus
525362.12,ruminis
525362.3,ruminis
1069534.5,ruminis
1263085.3,ruminis
1402208.3,ruminis
1423798.4,ruminis
1423798.5,ruminis
1423798.3,ruminis
1402207.4,ruminis
1040964.3,ruminis
1623.10,ruminis
1623.11,ruminis
1623.15,ruminis
1623.14,ruminis
1623.16,ruminis
1623.17,ruminis
1623.13,ruminis
768728.4,salivarius
712961.3,salivarius
1273133.3,salivarius
1423799.3,salivarius
1041521.3,salivarius
1624.19,salivarius
1029822.3,salivarius
1108963.3,salivarius
1194971.3,salivarius
1624.72,salivarius
1624.26,salivarius
1624.28,salivarius
1624.27,salivarius
1624.71,salivarius
1624.67,salivarius
1624.70,salivarius
1624.68,salivarius
1624.77,salivarius
1624.76,salivarius
1624.78,salivarius
1624.112,salivarius
1624.113,salivarius
1624.66,salivarius
1624.65,salivarius
1624.64,salivarius
1624.63,salivarius
1624.61,salivarius
1624.62,salivarius
1624.60,salivarius
